season,stage,date,match_id,home_team_id,away_team_id,home_player_X1,home_player_X2,home_player_X3,home_player_X4,home_player_X5,home_player_X6,home_player_X7,home_player_X8,home_player_X9,home_player_X10,home_player_X11,away_player_X1,away_player_X2,away_player_X3,away_player_X4,away_player_X5,away_player_X6,away_player_X7,away_player_X8,away_player_X9,away_player_X10,away_player_X11,home_player_Y1,home_player_Y2,home_player_Y3,home_player_Y4,home_player_Y5,home_player_Y6,home_player_Y7,home_player_Y8,home_player_Y9,home_player_Y10,home_player_Y11,away_player_Y1,away_player_Y2,away_player_Y3,away_player_Y4,away_player_Y5,away_player_Y6,away_player_Y7,away_player_Y8,away_player_Y9,away_player_Y10,away_player_Y11,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11,on_target_shot_home_team,on_target_shot_away_team,off_target_shot_home_team,off_target_shot_away_team,foul_home_team,foul_away_team,yellow_card_home_team,yellow_card_away_team,red_card_home_team,red_card_away_team,crosses_home_team,crosses_away_team,corner_home_team,corner_away_team,possession_home_team,possession_away_team,home_team_goal,away_team_goal
2008/2009,10,2008-10-28 00:00:00,30747,10261,8659,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,1,3,5,7,9,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,7,11,24224,25518.0,24228,30929,37475.0,33852,40565.0,24205.0,34574.0,37799.0,24225.0,36373,31731.0,42594.0,26527,24728.0,40055.0,24664.0,38433.0,24171.0,23257.0,32570.0,4,5,6,9,15,12,0,4,0,0,17,15,7,8,51.0,49.0,2,1
2008/2009,10,2008-10-29 00:00:00,59219,9879,8528,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,30633,37266.0,23780,26777,24781.0,24020,24843.0,30338.0,24737.0,31907.0,24741.0,34421,35472.0,25005.0,111865,97988.0,25150.0,38816.0,34987.0,35327.0,34466.0,127857.0,1,4,8,4,10,14,0,2,0,0,12,21,2,2,50.0,50.0,2,0
2008/2009,11,2008-11-01 00:00:00,36714,10260,8667,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,3,5,7,5,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,5,5,5,8,10,10,30726,30615.0,30620,30865,32569.0,30893,34944.0,40961.0,40945.0,27430.0,30829.0,23021,40132.0,26066.0,34275,23022.0,34437.0,23946.0,30595.0,39073.0,23352.0,26143.0,7,3,9,4,13,13,2,2,0,0,12,8,9,1,51.0,49.0,4,3
2008/2009,11,2008-11-01 00:00:00,43447,8586,8650,1,2,4,6,8,2,4,6,8,5,5,1,2,4,6,8,1,3,5,7,9,5,1,3,3,3,3,7,7,7,7,9,11,1,3,3,3,3,7,7,7,7,7,11,30455,46403.0,30354,38697,40006.0,23760,34182.0,24656.0,25421.0,31097.0,23949.0,30660,37442.0,30617.0,25984,414792.0,37139.0,30618.0,38818.0,30889.0,37920.0,24635.0,5,5,4,11,17,12,1,2,0,0,14,14,3,4,49.0,51.0,2,1
2008/2009,11,2008-11-01 00:00:00,59510,8668,9879,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,31465,30371.0,24004,23268,33086.0,36012,24006.0,39618.0,24011.0,30876.0,24160.0,30633,37266.0,23780.0,26777,24781.0,24020.0,24843.0,30338.0,24737.0,24741.0,31907.0,5,7,5,9,11,15,0,0,0,0,33,18,6,5,54.0,46.0,1,0
2008/2009,11,2008-11-01 00:00:00,43170,8549,8654,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,22978,24166.0,24163,24167,24161.0,24753,24393.0,33128.0,30892.0,42183.0,35608.0,36374,30687.0,24751.0,23818,26348.0,36394.0,109898.0,24747.0,30734.0,33781.0,118390.0,8,8,5,6,9,17,3,4,0,0,23,14,4,4,53.0,47.0,1,1
2008/2009,11,2008-11-03 00:00:00,51721,10261,10252,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,24224,25518.0,24228,30929,37475.0,33852,24205.0,30360.0,34574.0,37799.0,24225.0,30380,30357.0,33863.0,43280,23282.0,38807.0,24780.0,23782.0,23354.0,26165.0,23264.0,5,1,5,6,14,20,4,3,0,0,11,19,2,6,55.0,45.0,2,0
2008/2009,11,2008-11-02 00:00:00,50594,8559,8456,1,2,4,6,8,3,5,7,3,5,7,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,10,10,10,23932,26454.0,23783,24336,23785.0,23784,23933.0,35532.0,37996.0,23934.0,24372.0,31432,30509.0,24211.0,23939,24208.0,24213.0,39027.0,40198.0,30367.0,107216.0,33974.0,8,7,6,5,15,21,1,1,0,0,26,7,6,1,55.0,45.0,2,0
2008/2009,11,2008-11-01 00:00:00,53690,8659,8655,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,36373,31731.0,42594,26527,24728.0,24171,24664.0,40055.0,38433.0,32570.0,27267.0,30622,49571.0,19020.0,23921,25667.0,30842.0,38711.0,30849.0,24136.0,34176.0,34947.0,7,4,7,4,10,16,3,2,0,0,28,9,2,3,59.0,41.0,2,2
2008/2009,11,2008-11-01 00:00:00,56091,8462,8528,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,1,3,5,7,9,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,7,11,36286,34036.0,24216,34418,40987.0,25517,23988.0,24653.0,63520.0,30830.0,30348.0,34421,34987.0,24230.0,35472,111865.0,35327.0,97988.0,25150.0,24663.0,34466.0,127857.0,8,9,10,5,11,12,0,3,0,0,22,22,7,6,45.0,55.0,1,2
2008/2009,11,2008-11-01 00:00:00,56972,10194,9825,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,23794,40574.0,40005,40695,35467.0,35636,23333.0,24133.0,25668.0,38755.0,23314.0,23686,26111.0,30831.0,30616,31291.0,39297.0,30613.0,23678.0,27277.0,30960.0,36410.0,3,4,2,8,13,7,4,2,0,1,14,26,3,6,45.0,55.0,2,1
2008/2009,11,2008-11-01 00:00:00,54453,8455,8472,1,2,4,6,8,3,5,7,3,5,7,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,7,10,10,30859,25925.0,26564,30627,38834.0,30686,32345.0,30631.0,30630.0,37804.0,30679.0,24527,38836.0,24446.0,24740,43259.0,38802.0,24411.0,24655.0,30352.0,109434.0,30988.0,8,0,7,1,6,11,0,1,0,0,15,11,4,0,55.0,45.0,5,0
2008/2009,12,2008-11-08 00:00:00,38736,9825,10260,1,2,4,6,8,2,4,6,8,5,5,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,9,11,1,3,3,3,3,7,7,7,7,10,10,23686,26111.0,38835,30616,31291.0,31013,30613.0,39297.0,26181.0,27277.0,36410.0,30726,30615.0,30620.0,30865,32569.0,30893.0,40961.0,34944.0,30802.0,30829.0,27430.0,6,9,6,10,17,8,3,2,0,0,16,20,5,6,52.0,48.0,2,1
2008/2009,12,2008-11-08 00:00:00,59727,8650,8659,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,30660,37442.0,30617,25984,34222.0,24800,38818.0,30618.0,37920.0,37139.0,24635.0,36373,31731.0,42594.0,26527,24728.0,40055.0,38433.0,24664.0,31088.0,32570.0,27267.0,8,2,2,2,10,8,2,1,0,0,13,14,3,7,51.0,49.0,3,0
2008/2009,12,2008-11-08 00:00:00,58260,8472,8462,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,24527,36786.0,24740,24446,24408.0,38802,24411.0,17866.0,30352.0,33418.0,24410.0,36286,34036.0,24216.0,34418,24630.0,38820.0,24653.0,23988.0,40987.0,30830.0,30348.0,4,3,4,4,8,9,2,1,0,0,21,17,8,3,55.0,45.0,1,2
2008/2009,12,2008-11-08 00:00:00,52143,8654,8668,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,36374,30687.0,24751,23818,26348.0,36394,24223.0,33049.0,30734.0,33781.0,118390.0,31465,30371.0,24004.0,23268,33086.0,24011.0,30876.0,109058.0,24006.0,30735.0,25666.0,11,3,5,8,10,10,1,1,0,0,22,26,9,4,55.0,45.0,1,3
2008/2009,12,2008-11-09 00:00:00,41590,10252,8549,1,2,4,6,8,3,5,7,3,5,7,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,7,10,10,30380,33863.0,24658,43280,23282.0,24780,23782.0,23283.0,38807.0,23264.0,23354.0,22978,33754.0,24163.0,24167,24161.0,24753.0,24393.0,33128.0,30892.0,42183.0,35608.0,10,5,5,7,12,8,2,2,0,0,24,13,8,4,56.0,44.0,1,2
2008/2009,12,2008-11-09 00:00:00,34102,8456,8586,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,5,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,9,11,31432,30509.0,24208,24211,33963.0,30367,24213.0,42119.0,30340.0,33974.0,25342.0,30455,46403.0,38697.0,30354,40006.0,23760.0,24656.0,34182.0,30818.0,31097.0,23949.0,6,5,2,7,12,12,1,2,1,1,20,25,4,4,45.0,55.0,1,2
2008/2009,12,2008-11-09 00:00:00,43445,8655,8455,1,2,4,6,8,4,6,3,5,7,5,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,6,6,8,8,8,11,1,3,3,3,3,7,7,7,10,10,10,30622,49571.0,35506,23921,25667.0,30849,24136.0,,38711.0,23916.0,34176.0,30859,25925.0,26564.0,30627,30635.0,30631.0,32345.0,30686.0,31906.0,37804.0,30679.0,3,9,4,7,14,10,2,1,0,0,12,25,5,9,40.0,60.0,0,2
2008/2009,12,2008-11-09 00:00:00,32169,9879,10261,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,30633,37266.0,23780,26777,24781.0,24020,24843.0,30338.0,24737.0,24741.0,31907.0,24224,25518.0,30929.0,26161,37475.0,33852.0,30360.0,24205.0,34574.0,37799.0,24225.0,5,6,5,7,13,12,2,2,0,0,25,18,6,1,53.0,47.0,2,1
2008/2009,12,2008-11-08 00:00:00,58508,8667,8559,1,2,4,6,8,3,5,7,5,4,6,1,2,4,6,8,1,3,5,7,9,5,1,3,3,3,3,5,5,5,8,10,10,1,3,3,3,3,7,7,7,7,7,11,23021,40132.0,34275,26066,23022.0,34437,23023.0,30595.0,39073.0,23352.0,26143.0,23932,26454.0,23783.0,24336,23785.0,23934.0,23784.0,35532.0,24372.0,23937.0,34261.0,8,7,7,3,15,13,1,2,0,0,25,16,6,7,55.0,45.0,0,1
2008/2009,12,2008-11-08 00:00:00,42853,8528,10194,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,34421,34987.0,24230,35472,111865.0,35327,97988.0,25150.0,24663.0,34466.0,127857.0,23794,40574.0,40005.0,40695,35467.0,24133.0,23333.0,35636.0,25668.0,38755.0,23314.0,9,1,8,1,10,13,1,3,0,0,35,12,5,3,57.0,43.0,0,0
2008/2009,13,2008-11-15 00:00:00,43475,10260,10194,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,30726,24150.0,30865,43248,32569.0,30893,34944.0,24148.0,30802.0,38817.0,27430.0,23794,40574.0,40005.0,40695,35467.0,23333.0,24133.0,35636.0,25668.0,38755.0,23314.0,11,0,6,2,6,16,1,2,0,0,17,12,3,0,58.0,42.0,5,0
2008/2009,13,2008-11-15 00:00:00,51145,9825,10252,1,2,4,6,8,2,4,6,8,5,5,1,2,4,6,8,1,3,5,7,9,5,1,3,3,3,3,7,7,7,7,9,11,1,3,3,3,3,7,7,7,7,7,11,23686,26111.0,38835,30616,31291.0,31013,30613.0,39297.0,26181.0,27277.0,36410.0,30380,33863.0,43280.0,24658,30357.0,23354.0,23283.0,38609.0,23782.0,38807.0,23264.0,8,4,5,3,10,20,2,4,0,0,33,15,8,4,53.0,47.0,0,2
2008/2009,13,2008-11-15 00:00:00,52550,8654,8462,1,2,4,6,8,3,5,7,3,5,7,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,10,10,10,1,3,3,3,3,7,7,7,7,10,10,36374,30687.0,24751,23818,26348.0,30966,24223.0,109898.0,118390.0,34543.0,33781.0,36286,34036.0,26108.0,24216,24630.0,25517.0,24653.0,23988.0,40987.0,30830.0,30348.0,10,6,6,7,7,13,0,1,0,0,18,12,8,8,50.0,50.0,0,0
2008/2009,13,2008-11-16 00:00:00,51079,8668,8549,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,31465,30371.0,24004,23268,33086.0,24011,39618.0,30876.0,24006.0,24160.0,30735.0,22978,33754.0,24163.0,24167,24161.0,24393.0,33128.0,35544.0,30892.0,35608.0,42183.0,7,2,8,7,10,15,0,2,0,0,33,16,10,1,55.0,45.0,1,1
2008/2009,13,2008-11-15 00:00:00,33702,10261,8528,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,1,3,5,7,9,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,7,11,24224,25518.0,26209,30929,37475.0,33852,24205.0,30360.0,34574.0,24225.0,37799.0,34421,35472.0,24230.0,25005,111865.0,35327.0,25150.0,97988.0,24890.0,41877.0,24841.0,6,4,10,9,9,13,1,3,0,0,23,22,4,10,54.0,46.0,2,2
2008/2009,13,2008-11-15 00:00:00,53295,8655,8472,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,4,6,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,10,10,30622,37764.0,19020,35506,24136.0,49571,38711.0,23889.0,23916.0,30646.0,34176.0,24527,36786.0,24740.0,24446,24408.0,24655.0,24411.0,30352.0,38802.0,33418.0,30988.0,8,5,9,3,10,10,3,4,0,0,24,21,11,8,50.0,50.0,1,2
2008/2009,13,2008-11-15 00:00:00,31950,9879,8586,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,2,4,6,8,5,5,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,7,9,11,30633,37266.0,23780,26777,24781.0,30956,30338.0,24843.0,24020.0,31907.0,24741.0,30455,46403.0,38697.0,30354,31921.0,23760.0,34182.0,24656.0,30818.0,31097.0,23949.0,13,5,3,4,8,9,1,0,0,0,21,18,10,3,52.0,48.0,2,1
2008/2009,13,2008-11-15 00:00:00,30924,8559,8650,1,2,4,6,8,1,3,5,7,9,5,1,2,4,6,8,4,6,3,5,7,5,1,3,3,3,3,7,7,7,7,7,11,1,3,3,3,3,6,6,8,8,8,11,23932,26454.0,23783,24336,23785.0,24372,23933.0,35532.0,23784.0,34261.0,23934.0,30660,30617.0,24134.0,25984,34222.0,30889.0,38818.0,37139.0,30618.0,37920.0,24635.0,10,7,6,8,7,9,1,1,0,0,21,16,7,3,48.0,52.0,0,2
2008/2009,13,2008-11-15 00:00:00,50351,8659,8455,1,2,4,6,8,2,4,6,8,4,6,1,2,4,6,8,3,5,7,3,5,7,1,3,3,3,3,7,7,7,7,10,10,1,3,3,3,3,7,7,7,10,10,10,36373,31731.0,37280,26527,24728.0,40055,24171.0,24664.0,38433.0,32570.0,27267.0,23984,25925.0,31306.0,30627,30635.0,30631.0,32345.0,30686.0,31906.0,37804.0,30679.0,3,7,10,7,8,8,0,3,0,0,15,24,3,10,49.0,51.0,0,3
